firma,d_summa_k-ta,d_km,d_total,d_arve,d_date,d_date_maks,d_days,d_konto,d_subschet,d_subkonto,dkulud_konto,dkulud_subschet,dkulud_subkonto,d_kulud,komm
Armina,Summa km-ta 20%,Käibemaks 20%,Arve kokku  \(EUR\),Arve nr,Kuupäev,Maksetähtpäev,,60,1,6:144,26,,8:6:31,tolketeenused
Oculus,Summa ilma käibemaksuta,Käibemaks 20%,Tasumisele kuulub,ARVE NR,Kuupäev:,Makse tähtpäev:,,60,1,6:89,26,,8:6:31,tolketeenused
Elisa,Summa käibemaksuta,Käibemaks \(20%\),Arve summa,100130171,5a-13,maakond,,60,1,6:76,26,,8:6:11:14,internet
Must Have,Kokku maksustatav summa \(EUR\):,Käibemaks \(20%\),Kokku maksustatav summa \(EUR\):,ARVE NR.,Kuupäev:,Maksetähtaeg:,,60,1,6:39,26,,8:6:31,tolketeenused
Compic,Kokku \/ Всего,20.00% Käibemaks \/VAT,Summa \/ К Оплате,Arve \/ Счет: ,Kuupäev \/ Дата:,Maksetähtaeg / Срок оплаты:,,60,1,6:20,26,,8:6:11:1,bonus.ee
WAVED STRIPES,KOGUSUMMA,Käibemaks \(20%\),KOGUSUMMA,ARVE - SAATELEHT Nr. ,MAKSETINGIMUSED\n,Maksetähtaeg,päeva,60,1,6:86,26,,8:6:31,tolketeenused
