firma,d_total,d_arve,d_date,d_date_maks,d_days,d_konto,d_subschet,d_subkonto,dkulud_konto,dkulud_subschet,dkulud_subkonto,d_kulud,d_komm
Eesti Energia,Arve summa:,Arve nr,Arve kuupäev:,Maksetähtaeg:,,76,,3:2,21,,8:6:31,energia vork,komm
Elektrum,Summa \(EUR\),Arve number,Arve kuupäev,Maksetähtpäev,,76,,3:21,2,,8:6:31,energia,komm
