Tasks Java / Vedenin Viacheslav,2022-10-21 11:00:00+00:00,2022-10-21 12:30:00+00:00,Tasks Java / Vedenin Viacheslav,TELRAN
Tasks FE / Asatryan Roza,2022-09-23 07:30:00+00:00,2022-09-23 09:00:00+00:00,Tasks FE / Asatryan Roza,TELRAN
Basic FE / Asatryan Roza,2022-09-27 07:30:00+00:00,2022-09-27 10:45:00+00:00,Basic FE / Asatryan Roza,TELRAN
Basic FE / Asatryan Roza,2022-10-18 07:30:00+00:00,2022-10-18 10:45:00+00:00,Basic FE / Asatryan Roza,TELRAN
Tasks Java / Vedenin Viacheslav,2022-10-07 11:00:00+00:00,2022-10-07 12:30:00+00:00,Tasks Java / Vedenin Viacheslav,TELRAN
Basic Java / Egorov Mikhail,2022-10-31 08:30:00+00:00,2022-10-31 11:45:00+00:00,Basic Java / Egorov Mikhail,TELRAN
Tasks FE / Asatryan Roza,2022-10-14 07:30:00+00:00,2022-10-14 09:00:00+00:00,Tasks FE / Asatryan Roza,TELRAN
Basic QA / Irina Baker,2022-10-25 11:00:00+00:00,2022-10-25 12:30:00+00:00,Basic QA / Irina Baker,TELRAN
Basic Java / Egorov Mikhail,2022-10-17 07:30:00+00:00,2022-10-17 10:45:00+00:00,Basic Java / Egorov Mikhail,TELRAN
Basic QA / Irina Baker,2022-10-04 11:00:00+00:00,2022-10-04 12:30:00+00:00,Basic QA / Irina Baker,TELRAN
Basic Java / Egorov Mikhail,2022-10-12 07:30:00+00:00,2022-10-12 10:45:00+00:00,Basic Java / Egorov Mikhail,TELRAN
Basic Java / Egorov Mikhail,2022-10-26 07:30:00+00:00,2022-10-26 10:45:00+00:00,Basic Java / Egorov Mikhail,TELRAN
Basic QA / Irina Baker,2022-10-27 11:00:00+00:00,2022-10-27 12:30:00+00:00,Basic QA / Irina Baker,TELRAN
Tasks FE / Asatryan Roza,2022-10-07 07:30:00+00:00,2022-10-07 09:00:00+00:00,Tasks FE / Asatryan Roza,TELRAN
Basic Java / Egorov Mikhail,2022-09-26 07:30:00+00:00,2022-09-26 10:45:00+00:00,Basic Java / Egorov Mikhail,TELRAN
Tasks Java / Vedenin Viacheslav,2022-09-23 11:00:00+00:00,2022-09-23 12:30:00+00:00,Tasks Java / Vedenin Viacheslav,TELRAN
Basic QA / Irina Baker,2022-09-29 11:00:00+00:00,2022-09-29 12:30:00+00:00,Basic QA / Irina Baker,TELRAN
Basic Java / Egorov Mikhail,2022-09-21 07:30:00+00:00,2022-09-21 10:45:00+00:00,Basic Java / Egorov Mikhail,TELRAN
Linux / Ivan Chumak,2022-09-20 07:30:00+00:00,2022-09-20 10:45:00+00:00,Linux / Ivan Chumak,TELRAN
